,Patent's id,WWW_link,Title,Abstract,Publication_date,Owner,Inventors,Image_link,Similarity,patentBERT,BERT,Roberta
34,US10977642B2,https://patents.google.com/patent/US10977642B2/en,Apparatuses and methods for operating a portable electronic device to conduct mobile payment transactions,"Methods for operating a portable electronic device to conduct a mobile payment transaction at a merchant terminal are provided. The electronic device may verify that the current user of the device is indeed the authorized owner by requiring the current user to enter a passcode. If the user is able to provide the correct passcode, the device is only partly ready to conduct a mobile payment. In order for the user to fully activate the payment function, the user may have to supply a predetermined payment activation input such as a double button press that notifies the device that the user intends to perform a financial transaction in the immediate future. The device may subsequently activate a payment applet for a predetermined period of time during which the user may hold the device within a field of the merchant terminal to complete a near field communications based mobile payment transaction.",2021-04-13,Apple Inc.,"Ahmer A. Khan, Gregory B. Novick, Jerrold V. Hauck, Saket R. Vora, Yehonatan Perez",https://api.projectpq.ai/patents/US10977642B2/thumbnails/1,52.85,33.15,87.66,47.97
35,US5870456A,https://patents.google.com/patent/US5870456A/en,Automated interactive bill payment system using debit cards," Method and apparatus for processing payment transactions using debit card numbers without the requirement of a personal identification number (PIN) is disclosed. A telepay system of the present invention provides an interface between a standard touchtone telephone and at least one debit card network such that real-time bill payment transactions may be effected using a keypad of the telephone. The telepay system includes an interactive voice response unit for prompting a payor to enter an access code, account number, debit card number and payment amount and for informing the user of the status of the transaction. Real-time processing of transactions is provided through use of debit card networks, rather than the Automated Clearing House. The telepay system is also capable of performing settlement functions and processing inquiries by payees of the system regarding previously processed transactions. ",1999-02-09,"Telpar, Inc.",Catherine R. Rogers,https://api.projectpq.ai/patents/US5870456A/thumbnails/1,52.76,49.77,87.95,50.15
36,US5652786A,https://patents.google.com/patent/US5652786A/en,Automated interactive bill payment system," Method and apparatus for processing payment transactions using debit card numbers without the requirement of a personal identification number (PIN) is disclosed. A telepay system of the present invention provides an interface between a standard touchtone telephone and at least one debit card network such that real-time bill payment transactions may be effected using a keypad of the telephone. The telepay system includes an interactive voice response unit for prompting a payor to enter an access code, account number, debit card number and payment amount and for informing the user of the status of the transaction. Real-time processing of transactions is provided through use of debit card networks, rather than the Automated Clearing House. The telepay system is also capable of performing settlement functions and processing inquiries by payees of the system regarding previously processed transactions. ",1997-07-29,Telepay,Catherine R. Rogers,https://api.projectpq.ai/patents/US5652786A/thumbnails/1,52.64,41.83,87.95,50.14
37,US20110196797A1,https://patents.google.com/patent/US20110196797A1/en,WIRELESS PAYMENT AND BARTER PLATFORM,"The present invention is directed to a wireless payment platform that may offer a payment, negotiation and or barter mechanism for users with a mobile device. The wireless payment platform may utilize the convenience and adaptability of the mobile device of the users. Such a payment, barter and negotiation mechanism may offer more security to transactions by adding a transaction confirmation facility using conventional communications technologies, such as the Short Message Service or SMS, Interactive Voice Response (IVR) technology, and the like. Financial transactions may be conducted on a person-to-person basis where each user may be identified by a unique identifier such as a telephone number, caller ID, and the like. The wireless payment platform may also include a negotiating and barter module capable of allowing users to exchange offers of settlement until one offer is accepted.",2011-08-11,Assignee N/A,Gad Liwerant,https://api.projectpq.ai/patents/US20110196797A1/thumbnails/1,52.11,30.49,85.74,54.64
38,US20160180324A1,https://patents.google.com/patent/US20160180324A1/en,METHOD AND SYSTEM FOR ACCRUAL AND SPENDING OF SMALL CHANGE TRANSACTIONS,"A method for electronically processing change in a cash transaction includes: storing a plurality of account profiles, each profile including data related to a consumer including a phone number associated with a mobile communication device and a currency amount; receiving a short message service (SMS) message from a first phone number associated with a first mobile communication device, the message including a second phone number and a change amount; identifying a first account profile where the included phone number corresponds to the first phone number; identifying a second account profile where the included phone number corresponds to the second phone number; transferring the change amount included in the received SMS message from the first account profile to the second account profile; and transmitting an SMS message to the second phone number, the message including a notification of the transfer of the change amount to the second account profile.",2016-06-23,MASTERCARD INTERNATIONAL INCORPORATED,"Kiran SHENOY, Mandeep SANDHU, Kiran Kumar HATTI",https://api.projectpq.ai/patents/US20160180324A1/thumbnails/1,51.98,48.25,79.6,48.19
39,US20160125370A1,https://patents.google.com/patent/US20160125370A1/en,MONEY TRANSFER BY USE OF A SYNTAX,"Described is a technology for executing financial transactions, e.g., payment transfers, by enabling a sender to trigger a money transfer by specifying, in any communication message, an input having a particular syntax, the syntax including a monetary indicator preceding one or more numeric characters. The input having the syntax indicates an intent of the sender to transfer money to a recipient. The money transfer can be implemented in the context of an instant messaging application (e.g., cross-platform chat application). For example, a sender can send a chat message to a recipient, where that chat message includes an input carrying the syntax (e.g., $10). Detection of such syntax can trigger a money transfer from the sender to the recipient.",2016-05-05,Assignee N/A,"Brian Grassadonia, Jesse Wilson",https://api.projectpq.ai/patents/US20160125370A1/thumbnails/1,51.72,62.87,84.53,47.38
40,US20130290182A1,https://patents.google.com/patent/US20130290182A1/en,PAYMENT CARD BASED REMITTANCE SYSTEM WITH DESIGNATION OF RECIPIENT BY MOBILE TELEPHONE NUMBER,"Methods and apparatus for conducting a funds transfer. In an embodiment, a translation computer receives an inquiry that includes a mobile telephone number from a payment system computer. The process includes accessing a computer database, translating the mobile telephone number into a payment card account number, and then transmitting, by the translation computer to the payment system computer, the payment card account number in response to the inquiry.",2013-10-31,Assignee N/A,"Dennis J. Hill, Sandeep Malhotra, Sara E. Fiebiger, Dana Lorberg, Patrick Killian, Andrew D. Campbell",https://api.projectpq.ai/patents/US20130290182A1/thumbnails/1,51.69,56.12,82.54,51.3
41,US20140108253A1,https://patents.google.com/patent/US20140108253A1/en,System and Method for Prepaid Account Replenishment,"A method of processing a transaction for provision of funds to a mobile telephone prepayment account associated with a mobile telephone is disclosed. The method includes: an Automated Teller Machine (ATM) receiving, from a card associated with a user of the mobile telephone, information identifying a financial account associated with the user of the mobile device; the ATM receiving, from a user, an identifier associated with the mobile telephone; the ATM receiving, from the user, information indicating an amount of funds to be provided to the mobile telephone prepayment account; and the ATM sending, to a financial institution associated with the financial account, an instruction to transfer the indicated amount of funds from the financial account to the wireless service provider, so as to provide the indicated amount of funds to the mobile telephone prepayment account.",2014-04-17,"UNWIRED PLANET, LLC",Peter Hartmaier,https://api.projectpq.ai/patents/US20140108253A1/thumbnails/1,51.59,27.46,82.75,46.25
42,US20180315042A1,https://patents.google.com/patent/US20180315042A1/en,ELECTRONIC ACCOUNT SHARING VIA DYNAMIC TOKENS,Usage of another person's electronic payment device on a mobile computing device such as a mobile phone may be possible by requesting a one-time use dynamic token for a specific amount from an authority.,2018-11-01,Assignee N/A,"Aditi RUNGTA, Hisyam Nursaid Indrakesuma, Wen Zhao Cheng, Xudong Wu",https://api.projectpq.ai/patents/US20180315042A1/thumbnails/1,51.45,21.65,79.82,53.74
43,US20170169420A1,https://patents.google.com/patent/US20170169420A1/en,ONE-STEP PAYMENTS IN A SECURE DIGITAL PLATFORM,"A digital payments platform allows users to approve and execute digital payment transactions using a mobile wallet application executing on a registered mobile device. Users initiate transactions on a website of a participating online merchant, at a point-of-sale of a participating physical merchant, or within a participating third-party mobile application. For each such payment transaction, a user receives a transaction approval request on the registered mobile device. The user can review the transaction request and approve it by performing a single action (such as a button press).",2017-06-15,Assignee N/A,"Govindaraj N. Setlur, Akshathkumar Shetty",https://api.projectpq.ai/patents/US20170169420A1/thumbnails/1,51.35,49.66,85.95,55.81
44,US20020029190A1,https://patents.google.com/patent/US20020029190A1/en,Money-transfer techniques,"A financial institution has a web-based server for use in transferring money between a customer and a beneficiary. The server provides an online money-transfer service via the Internet and the PSTN (Public Switched Telephone Network). A customer, having a client computer, a telephone having DTMF (Dual-Tone, Multiple Frequency) access and a credit card, opens a transaction web page provided by the server. The customer inputs transaction data into the web page, including the sum of money, customer and beneficiary data, and basic payment data, such as credit-card information except, perhaps, the credit card number. The customer sends the transaction data to the server via the Internet. After the customer confirms the transaction data in a second web page, the server instructs the customer to contact the financial institution via the customer's telephone. Upon receiving the customer's telephone call, the server looks for a match between a received ANI (automatic number identification) signal and the telephone number provided by the customer. The customer then punches in the credit card number, and, in return, receives a fund-pick-up (“folio”) number in an audio message. The customer provides the beneficiary with the fund-pick-up number to use in collecting the funds.",2002-03-07,"UniTeller Financial Services, Inc.",Luis Eduardo Gutierrez-Sheris,https://api.projectpq.ai/patents/US20020029190A1/thumbnails/1,51.14,39.51,85.05,47.34
45,US6339638B1,https://patents.google.com/patent/US6339638B1/en,Telephone used for electronic money card transaction and method of operation of the same,"A telephone for transferring electronic money between money cards has on the top thereof two card inlets of two internal card reader/writers, a display window, a ten-key set used to dial a telephone number or enter an amount of electronic money transaction, telephone function keys, and mode selection keys. It can be operated to transfer electronic money between two money cards inserted in the card inlets, or between a money card inserted in one of the card inlets and another money card linked through the telephone line, thereby enabling person-to-person, person-to-bank, and person-to-retailer transactions based on electronic money.",2002-01-15,"Hitachi, Ltd.","Masayuki Ohki, Atsuhiko Urushibara, Jun Furuya, Shigeyuki Ito, Hiroki Kitagawa, Takao Oosawa",https://api.projectpq.ai/patents/US6339638B1/thumbnails/1,51.05,33.95,86.45,48.71
46,US20060258337A1,https://patents.google.com/patent/US20060258337A1/en,"Portable terminal device, portable terminal oriented method, portable terminal oriented program, currency information issuance server apparatus, currency information issuance method, and currency information issuance program","A portable telephone (7) comprises a telephone function part (10) having a voice communications function and an Internet connecting function, and an electronic money function part (12) configured to conduct VALUE storage and VALUE handling. The telephone function part (10) is capable of accessing to a service site of an electronic money server (2) via Internet (4). Request by a user from the telephone function part (10) to the service site of the electronic money server (2) for VALUE entering, causes the electronic money server (2) to transmit an entering command to the portable telephone (7) for causing the electronic money function part (12) to execute VALUE entering. The electronic money function part (12) inputs the entering command in the electronic money function part (12) thereby causing the electronic money function part (12) to conduct an entering procedure.",2006-11-16,Assignee N/A,"Norihiko Fujita, Koji Ito, Hisanori Arai, Masaii Nagai",https://api.projectpq.ai/patents/US20060258337A1/thumbnails/1,50.89,81.86,81.58,48.52
47,US20220405757A1,https://patents.google.com/patent/US20220405757A1/en,Mobile Money Management System,"A mobile money management system, apparatus and method for conducting financial transactions using mobile devices, and more particularly to the use of cellular telephones or other handheld or wearable personal computing devices, for organizing and presenting information related to financial transactions, including sales transactions via a wireless communication link.",2022-12-22,Christian Hansen,Christian Hansen,https://api.projectpq.ai/patents/US20220405757A1/thumbnails/1,50.78,41.24,77.83,59.3
48,US20090187508A1,https://patents.google.com/patent/US20090187508A1/en,Business method for using a phone to transact financial transactions,"A business method for using phones to transact financial transactions in a secured and verified manner. The business method for using phones to transact financial transactions comprises registering the user with a registration system. Having the user initiate a financial transaction over a specific telephone. Verifying if the initiated user financial transaction is legitimate. Lastly, transferring funds in accordance with user instructions previously provided.",2009-07-23,Assignee N/A,Nicolas Placide,https://api.projectpq.ai/patents/US20090187508A1/thumbnails/1,50.76,38.91,81.31,41.9
49,US20180247296A1,https://patents.google.com/patent/US20180247296A1/en,MOBILE PAYMENT SYSTEM,"The present document describes a payment system that processes transactions originating from mobile phones, cellular devices, Web browsers, or other mobile devices. A customer initiates a transaction by sending a payment request via SMS, HTTPS, or other network protocol. The payment request includes an amount to be paid and a phone number associated with a recipient. The payment system confirms the identity of the customer, and identifies the recipient based at least in part on the phone number. The payment system supports the fulfillment of payment requests with various combinations of account balances, credit accounts, discounts, and loyalty points. The payment system also provides various merchant features such as ticket vending, automatic discovery of payees and payers, management of merchant terminals, and payroll processing.",2018-08-30,Assignee N/A,"Tun Tun Win, Manickam Subramanian, Abhishek Modi, Shivam Srivastava",https://api.projectpq.ai/patents/US20180247296A1/thumbnails/1,50.61,38.66,86.6,51.47
